tb_latitude,tb_longitude,victim_role,point,collision_datetime,accident_year,number_killed,number_injured,primary_rd,secondary_rd
37.74553423762429,-122.4516239866205,Bicyclist,POINT (-122.451623987 37.745534238),05/04/2022 03:24:00 PM,2022,0.0,1,OSHAUGHNESSY BLVD,PORTOLA DR
37.7812570619,-122.458858661,Bicyclist,POINT (-122.458858661 37.781257062),08/21/2019 08:52:00 AM,2019,0.0,1,GEARY BLVD,ARGUELLO BLVD
37.78072053969998,-122.507891878,Bicyclist,POINT (-122.507891878 37.78072054),10/08/2018 04:00:00 PM,2018,0.0,1,SEAL ROCK DR,ALTA MAR WAY
37.78179823499998,-122.38830606800002,Bicyclist,POINT (-122.388306068 37.781798235),08/27/2021 06:01:00 PM,2021,0.0,1,THE EMBARCADERO,TOWNSEND ST
37.7755581622,-122.418658584,Bicyclist,POINT (-122.418658584 37.775558162),04/17/2019 10:22:00 AM,2019,0.0,1,MARKET ST,11TH ST
37.78671265558647,-122.42833561293568,Bicyclist,POINT (-122.428335613 37.786712656),12/14/2021 10:07:00 PM,2021,0.0,1,LAGUNA ST,SUTTER ST
37.80638170499999,-122.40507235600002,Bicyclist,POINT (-122.405072356 37.806381705),10/04/2018 09:11:00 AM,2018,0.0,1,THE EMBARCADERO,BAY ST
37.77797708699997,-122.409387006,Bicyclist,POINT (-122.409387006 37.777977087),06/18/2019 06:40:00 AM,2019,0.0,1,HOWARD ST,07TH ST
37.78140658649998,-122.432499894,Bicyclist,POINT (-122.432499894 37.781406586),04/23/2020 02:41:00 PM,2020,0.0,1,EDDY ST,FILLMORE ST
37.7876787424,-122.458083148,Bicyclist,POINT (-122.458083148 37.787678742),01/20/2021 03:21:00 PM,2021,0.0,1,CLAY ST,ARGUELLO BLVD
37.77921168539998,-122.410936574,Bicyclist,POINT (-122.410936574 37.779211685),05/10/2018 05:30:00 PM,2018,0.0,1,MISSION ST,07TH ST
37.79716226060001,-122.42201392999998,Bicyclist,POINT (-122.42201393 37.797162261),01/20/2020 01:19:00 PM,2020,0.0,1,POLK ST,VALLEJO ST
37.7698070997,-122.403406518,Bicyclist,POINT (-122.403406518 37.7698071),02/20/2021 11:21:00 AM,2021,0.0,1,DIVISION ST,08TH ST
37.7445928955,-122.45336483999998,Bicyclist,POINT (-122.45336484 37.744592895),05/22/2020 04:00:00 PM,2020,0.0,1,PORTOLA DR,FOWLER AVE
37.78047851149999,-122.412512255,Bicyclist,POINT (-122.412512255 37.780478511),09/23/2020 02:48:00 PM,2020,0.0,1,MARKET ST,07TH ST
37.78092685529998,-122.41367636099996,Bicyclist,POINT (-122.413676361 37.780926855),03/19/2019 04:38:00 PM,2019,0.0,1,MCALLISTER ST,LEAVENWORTH ST
37.79809109629999,-122.42761097299996,Bicyclist,POINT (-122.427610973 37.798091096),04/04/2018 08:25:00 PM,2018,0.0,1,UNION ST,GOUGH ST
37.75702447869999,-122.388119001,Bicyclist,POINT (-122.388119001 37.757024479),10/01/2018 12:37:00 PM,2018,0.0,1,03RD ST,22ND ST
37.80655463379998,-122.41378666,Bicyclist,POINT (-122.41378666 37.806554634),04/06/2018 06:20:00 PM,2018,0.0,1,NORTH POINT ST,MASON ST
37.761370530899995,-122.42602738799997,Bicyclist,POINT (-122.426027388 37.761370531),06/18/2021 12:30:00 PM,2021,0.0,1,DOLORES ST,18TH ST
37.777476823099995,-122.41313312500002,Bicyclist,POINT (-122.413133125 37.777476823),05/13/2021 11:30:00 AM,2021,0.0,2,MISSION ST,08TH ST
