date,name_of_contributor,position,amount,description
01/30/2024,COALITION TO GROW SAN FRANCISCO - GROW SF PAC,SUPPORT,$15713.49,ONLINE ADS
01/30/2024,COALITION TO GROW SAN FRANCISCO - GROW SF PAC,SUPPORT,$3520.05,ONLINE ADS
01/26/2024,COALITION TO GROW SAN FRANCISCO - GROW SF PAC,SUPPORT,$1408.02,ONLINE ADS
01/31/2024,COALITION TO GROW SAN FRANCISCO - GROW SF PAC,SUPPORT,$422.41,DESIGN SERVICES
01/21/2024,COALITION TO GROW SAN FRANCISCO - GROW SF PAC,SUPPORT,$176.00,ONLINE ADS
01/24/2024,COALITION TO GROW SAN FRANCISCO - GROW SF PAC,SUPPORT,$126.72,ONLINE ADS
