,precinct,district,neighborhood
265,7006,District 10,empty
266,9402,District 4,empty
267,7816,District 8,empty
268,9802,District 8,empty
269,7817,District 8,empty
270,9405,District 4,empty
271,9805,District 8,empty
272,9406,District 4,empty
273,9407,District 4,empty
274,9701,District 7,empty
275,7812,District 8,empty
276,9508,District 5,empty
277,7001,District 10,empty
278,9703,District 7,empty
279,9704,District 7,empty
280,9801,District 8,empty
281,7903,District 9,empty
282,7802,District 8,empty
283,7002,District 10,empty
284,7904,District 9,empty
285,7804,District 8,empty
286,9804,District 8,empty
287,7906,District 9,empty
288,7905,District 9,empty
289,7009,District 10,empty
290,9806,District 8,empty
291,7813,District 8,empty
292,7815,District 8,empty
293,7801,District 8,empty
294,9803,District 8,empty
295,7803,District 8,empty
296,7806,District 8,empty
297,9504,District 5,empty
298,7902,District 9,empty
299,9807,District 8,empty
300,7807,District 8,empty
301,7805,District 8,empty
302,7613,District 6,empty
303,9702,District 7,empty
304,7605,District 6,empty
305,7622,District 6,empty
306,9404,District 4,empty
307,9501,District 5,empty
308,7814,District 8,empty
309,7521,District 5,empty
310,7602,District 6,empty
311,9133,District 1,empty
312,9503,District 5,empty
313,9509,District 5,empty
314,7517,District 5,empty
315,9506,District 5,empty
316,7519,District 5,empty
317,7621,District 6,empty
318,9147,District 1,empty
319,9505,District 5,empty
320,7618,District 6,empty
321,9502,District 5,empty
322,7612,District 6,empty
323,7619,District 6,empty
324,7522,District 5,empty
325,9136,District 1,empty
326,7523,District 5,empty
327,7607,District 6,empty
328,9137,District 1,empty
329,7601,District 6,empty
330,9507,District 5,empty
331,9138,District 1,empty
332,7604,District 6,empty
333,7611,District 6,empty
334,7629,District 6,empty
335,9142,District 1,empty
336,7513,District 5,empty
337,9143,District 1,empty
338,9144,District 1,empty
339,7628,District 6,empty
340,7516,District 5,empty
341,9237,District 2,empty
342,7606,District 6,empty
343,7515,District 5,empty
344,9108,District 1,empty
345,7603,District 6,empty
346,9129,District 1,empty
347,7617,District 6,empty
348,7609,District 6,empty
349,9121,District 1,empty
350,7514,District 5,empty
351,9122,District 1,empty
352,9123,District 1,empty
353,7508,District 5,empty
354,9124,District 1,empty
355,7615,District 6,empty
356,9145,District 1,empty
357,7616,District 6,empty
358,9125,District 1,empty
359,9126,District 1,empty
360,7608,District 6,empty
361,9127,District 1,empty
362,9128,District 1,empty
363,7512,District 5,empty
364,9146,District 1,empty
365,9131,District 1,empty
366,9132,District 1,empty
367,7509,District 5,empty
368,7634,District 6,empty
369,7624,District 6,empty
370,7626,District 6,empty
371,7627,District 6,empty
372,7614,District 6,empty
373,7532,District 5,empty
374,7504,District 5,empty
375,7511,District 5,empty
376,9236,District 2,empty
377,7531,District 5,empty
378,7205,District 2,empty
379,7635,District 6,empty
380,9106,District 1,empty
381,7529,District 5,empty
382,7623,District 6,empty
383,9101,District 1,empty
384,9233,District 2,empty
385,7505,District 5,empty
386,9109,District 1,empty
387,7534,District 5,empty
388,9112,District 1,empty
389,9234,District 2,empty
390,7506,District 5,empty
391,7632,District 6,empty
392,9114,District 1,empty
393,9119,District 1,empty
394,7528,District 5,empty
395,7507,District 5,empty
396,7526,District 5,empty
397,9104,District 1,empty
398,9511,District 5,empty
399,9116,District 1,empty
400,9235,District 2,empty
401,7208,District 2,empty
402,9118,District 1,empty
403,7625,District 6,empty
404,7527,District 5,empty
405,9512,District 5,empty
406,7207,District 2,empty
407,7533,District 5,empty
408,7524,District 5,empty
409,7633,District 6,empty
410,7338,District 3,empty
411,7525,District 5,empty
412,9903,District 6,empty
413,9105,District 1,empty
414,9111,District 1,empty
415,9229,District 2,empty
416,9113,District 1,empty
417,9231,District 2,empty
418,9107,District 1,empty
419,9513,District 5,empty
420,7639,District 6,empty
421,7204,District 2,empty
422,7641,District 6,empty
423,7501,District 5,empty
424,7328,District 3,empty
425,9115,District 1,empty
426,7333,District 3,empty
427,9225,District 2,empty
428,9238,District 2,empty
429,9117,District 1,empty
430,7503,District 5,empty
431,7644,District 6,empty
432,9232,District 2,empty
433,7638,District 6,empty
434,7334,District 3,empty
435,7203,District 2,empty
436,7331,District 3,empty
437,9239,District 2,empty
438,9228,District 2,empty
439,9227,District 2,empty
440,7322,District 3,empty
441,9102,District 1,empty
442,9243,District 2,empty
443,7642,District 6,empty
444,7502,District 5,empty
445,9103,District 1,empty
446,7202,District 2,empty
447,7327,District 3,empty
448,7631,District 6,empty
449,7335,District 3,empty
450,7332,District 3,empty
451,7336,District 3,empty
452,9226,District 2,empty
453,9241,District 2,empty
454,9242,District 2,empty
455,7329,District 3,empty
456,7319,District 3,empty
457,7201,District 2,empty
458,7637,District 6,empty
459,7643,District 6,empty
460,7326,District 3,empty
461,9223,District 2,empty
462,7636,District 6,empty
463,7324,District 3,empty
464,9224,District 2,empty
465,7321,District 3,empty
466,7337,District 3,empty
467,7323,District 3,empty
468,7325,District 3,empty
469,7314,District 3,empty
470,9221,District 2,empty
471,7315,District 3,empty
472,9216,District 2,empty
473,7316,District 3,empty
474,7317,District 3,empty
475,7318,District 3,empty
476,9217,District 2,empty
477,9305,District 3,empty
478,9218,District 2,empty
479,9222,District 2,empty
480,9219,District 2,empty
481,7309,District 3,empty
482,7311,District 3,empty
483,9306,District 3,empty
484,7312,District 3,empty
485,9302,District 3,empty
486,7306,District 3,empty
487,9211,District 2,empty
488,9212,District 2,empty
489,7307,District 3,empty
490,9209,District 2,empty
491,7304,District 3,empty
492,7313,District 3,empty
493,9303,District 3,empty
494,9214,District 2,empty
495,9213,District 2,empty
496,9215,District 2,empty
497,9304,District 3,empty
498,7305,District 3,empty
499,9208,District 2,empty
500,7302,District 3,empty
501,7308,District 3,empty
502,9301,District 3,empty
503,9204,District 2,empty
504,9205,District 2,empty
505,9203,District 2,empty
506,7303,District 3,empty
507,9207,District 2,empty
508,9206,District 2,empty
509,9201,District 2,empty
510,9202,District 2,empty
511,7301,District 3,empty
512,7645,District 6,empty
513,9904,District 6,empty
514,7042,Visitacion Valley,empty
515,1107,Outer Mission,empty
516,1145,Excelsior,empty
517,7043,Visitacion Valley,empty
518,7046,Visitacion Valley,empty
519,9731,Oceanview/Merced/Ingleside,empty
520,1102,Oceanview/Merced/Ingleside,empty
521,7004,Potrero Hill,empty
522,1146,Excelsior,empty
523,1149,Excelsior,empty
524,1115,Outer Mission,empty
525,1148,Excelsior,empty
526,1121,Outer Mission,empty
527,1106,Oceanview/Merced/Ingleside,empty
528,9134,Outer Richmond,empty
529,1105,Oceanview/Merced/Ingleside,empty
530,7518,Hayes Valley,empty
