Voting Precinct,Polling Place Name,Polling Place Address,Polling Place Entrance Instructions,Highest Slope Along Path of Travel,ADA Accessible?,Zip Code,Full Address,Latitude,Longitude,VRA § 203: Chinese,VRA § 203: Spanish,CAEC § 14201: Burmese,CAEC § 14201: Japanese,CAEC § 14201: Korean,CAEC § 14201: Thai,CAEC § 14201: Vietnamese,SF Language Access: Filipino
Pct 7335,1001 Pine Street Apartments,1001 Pine St,Btw Jones & Taylor,6.0% Slope,Yes,"94109",1001 Pine St 94109 ,"37.790414","-122.4127327","0","0","0","0","0","0","0","0"
Pct 7336,450 Sutter Building - Mayan Room 310,450 Sutter St,Btw Powell & Stockton,5.4% Slope - Access Via Elevator,Yes,94108-4206,450 Sutter St 94108-4206 ,"37.7896952","-122.4078356","1","0","0","0","0","0","0","0"
Pct 7337,Center For Architecture + Design - Lecture Hall,140 Sutter St,Btw Trinity & Kearny,7.4% Slope,Yes,"94104",140 Sutter St 94104 ,"37.7900682","-122.4029248","1","0","0","0","0","0","0","0"
Pct 7338 MB,Precinct does not have an assigned polling place as authorized under CAEC § 3005,,,,,,  ,,,,,,,,,,
Pct 7501,Jones Memorial United Methodist Church - Multi Purpose Rm,1975 Post St,Entrance On Post At Boswell,1.7% Slope,Yes,94115-3571,1975 Post St 94115-3571 ,"37.7848248","-122.4342709","0","0","0","1","1","0","0","0"
Pct 7502,Japanese Cultural & Community Center - Conference Rm,1840 Sutter St,Btw Webster & Buchanan,5.0% Slope - Access Via Elevator,Yes,"94115",1840 Sutter St 94115 ,"37.7866627","-122.4308871","0","0","0","1","1","0","0","0"
Pct 7503,1760 Bush Street Apartments - Community Rm,1760 Bush St,Btw Octavia & Gough,8.3% Slope - Ramped Access,Yes,"94109",1760 Bush St 94109 ,"37.7880531","-122.4265454","1","0","0","1","1","0","0","0"
Pct 7504,Zygmunt Arendt House - Program Room,850 Broderick St,Enter On Broderick Btw Golden Gate & Mcallister,0.9% Slope,Yes,"94115",850 Broderick St 94115 ,"37.778324","-122.4400168","0","0","0","1","1","0","0","0"
Pct 7505,Robert B Pitts - Community Room,1150 Scott St,Btw Eddy & Turk,8.3% Slope - Ramped Access,Yes,94115-4007,1150 Scott St 94115-4007 ,"37.7803191","-122.4368954","1","0","0","1","1","0","0","0"
Pct 7506,Fillmore Heritage - Lobby,1330 Fillmore St,Btw Eddy & O ' Farrell,2.6% Slope,Yes,"94115",1330 Fillmore St 94115 ,"37.7821572","-122.4320414","0","0","0","0","1","0","0","0"
