Voting Precinct,Polling Place Name,Polling Place Address,Polling Place Entrance Instructions,Highest Slope Along Path of Travel,ADA Accessible?,Zip Code,Full Address,Latitude,Longitude,VRA § 203: Chinese,VRA § 203: Spanish,CAEC § 14201: Burmese,CAEC § 14201: Japanese,CAEC § 14201: Korean,CAEC § 14201: Thai,CAEC § 14201: Vietnamese,SF Language Access: Filipino
Pct 7801,Garage,366 Roosevelt Way,Btw Masonic & Levant,5.7% Slope,Yes,"94114",366 Roosevelt Way 94114 ,"37.7652565","-122.4427207","0","0","0","0","0","0","0","0"
Pct 7802,Randall Museum - Buckley Redwood Room,199 Museum Way,Cross Street - Roosevelt Way,6.3% Slope,Yes,"94114",199 Museum Way 94114 ,"37.7644234","-122.4382085","0","0","0","0","0","0","0","0"
Pct 7803,Mckinley Elementary School - Room 232,1025 14th St,Btw Divisadero & Roosevelt,1.3 % Slope,Yes,"94114",1025 14th St 94114 ,"37.7669759","-122.4365134","0","0","0","0","0","0","0","0"
Pct 7804,Garage,2286 15th St,Btw Castro & Noe,4.8% Slope,Yes,"94114",2286 15th St 94114 ,"37.76596","-122.435143","0","0","0","0","0","0","0","0"
Pct 7805,Harvey Milk Recreation Center,50 Scott St,Btw Waller & Duboce,5.2% Slope,Yes,"94117",50 Scott St 94117 ,"37.7696087","-122.4346808","0","0","0","0","0","0","0","0"
Pct 7806,25 Sanchez Apartments - Community Room,25 Sanchez St,Btw Duboce & 14th St,7.8% Slope - Ramped Access,Yes,"94114",25 Sanchez St 94114 ,"37.7689424","-122.4310199","0","0","0","0","0","0","0","0"
Pct 7807,The S F L G B T Center - Lobby,1800 Market St,Btw Octavia & Laguna,0.9% Slope,Yes,"94102",1800 Market St 94102 ,"37.7716881","-122.4240297","0","0","0","0","0","0","0","0"
Pct 7808,Garage,139 Corbett Ave,Btw Hattie & Danvers,7.5% Slope,Yes,"94114",139 Corbett Ave 94114 ,"37.7614836","-122.4414124","0","0","0","0","0","0","0","0"
Pct 7809,Garage,128 Eureka St,Btw 18th & 19th Sts,3.7% Slope,Yes,"94114",128 Eureka St 94114 ,"37.7601533","-122.4385083","0","0","0","0","0","0","0","0"
Pct 7811,Garage,160 Ord St,Corner Of Market & Corbett,3.2% Slope,Yes,"94114",160 Ord St 94114 ,"37.7612548","-122.4403438","0","0","0","0","0","0","0","0"
Pct 7812,Garage,48 Pond St,Btw 16th & 17th Sts,4.0% Slope,Yes,"94114",48 Pond St 94114 ,"37.7634539","-122.4323947","0","0","0","0","0","0","0","0"
Pct 7813,Garage,172 Landers St,Btw 15th & 16th St,1.9% Slope,Yes,"94103",172 Landers St 94103 ,"37.7651066","-122.4278751","0","0","0","0","0","0","0","0"
Pct 7814,Chan National Queer Arts Center - Conference Room,170 Valencia St,Btw Mc Coppin & Duboce,4.5% Slope,Yes,"94103",170 Valencia St 94103 ,"37.7704399","-122.4228723","0","0","0","0","0","0","0","0"
Pct 7815,Garage,71 Landers St,Btw 14th & 15th Sts,4.6% Slope,Yes,"94114",71 Landers St 94114 ,"37.7667151","-122.4275566","0","0","0","0","0","0","0","0"
Pct 7816,Everett Middle School - Rm 165,450 Church St,Btw 16th & 17th Sts,8.3% Slope - Ramped Access,Yes,"94114",450 Church St 94114 ,"37.7637849","-122.4290757","0","0","0","0","0","0","0","0"
Pct 7817,Boys & Girls Club - Dance Studio,450 Guerrero St,Btw 16th & 17th Sts,1.8% Slope,Yes,"94110",450 Guerrero St 94110 ,"37.7638254","-122.4242981","0","0","0","0","0","0","0","0"
Pct 7818,Rooftop Mayeda Campus - Lobby,500 Corbett Ave,Corner Of Iron Alley & Corbett,4.8% Slope,Yes,"94114",500 Corbett Ave 94114 ,"37.7575012","-122.4447333","0","0","0","0","0","0","0","0"
Pct 7819,Garage,65 Grand View Ave,Romain & Grand View Terrace,8.0% Slope,Yes,94114-2741,65 Grand View Ave 94114-2741 ,"37.7568287","-122.4405517","0","0","0","0","0","0","0","0"
Pct 7821,Eureka Valley Rec Ctr - Multi Purpose Rm,100 Collingwood St,Btw 18th & 19th Sts,7.6% Slope - Ramped Access,Yes,"94114",100 Collingwood St 94114 ,"37.7602836","-122.436417","0","0","0","0","0","0","0","0"
Pct 7822,Garage,515 Noe St,Btw 18th & 19th Sts,6.1% Slope,Yes,"94114",515 Noe St 94114 ,"37.7607164","-122.4325701","0","0","0","0","0","0","0","0"
Pct 7823,Garage,3824 22nd St,Btw Noe & Castro,8.1% Slope,Yes,"94114",3824 22nd St 94114 ,"37.7547634","-122.4332821","0","0","0","0","0","0","0","0"
Pct 7824,Theresa S. Mahler School - Room 4,990 Church St,Btw 22nd St & Hill St,0.3% Slope,Yes,94114-3044,990 Church St 94114-3044 ,"37.755269","-122.4280457","0","0","0","0","0","0","0","0"
Pct 7825,Garage,708 Guerrero St,Btw 19th St & Cumberland St,4.3% Slope,Yes,"94110",708 Guerrero St 94110 ,"37.7597423","-122.423916","0","0","0","0","0","0","0","0"
Pct 7826,Garage,264 Glenview Dr,Near Corner Of Burnett,7.2% Slope,Yes,"94131",264 Glenview Dr 94131 ,"37.7481673","-122.4456918","0","0","0","0","0","0","0","0"
Pct 7827,Garage - Enter Through Glass Door,885 Corbett Ave,Near Corner Of Hopkins,2.9% Slope,Yes,"94131",885 Corbett Ave 94131 ,"37.7526686","-122.4435611","0","0","0","0","0","0","0","0"
Pct 7828,Firehouse #24 - Left Bay,100 Hoffman Ave,Btw Alvarado & 23rd Sts,2.5% Slope,Yes,"94114",100 Hoffman Ave 94114 ,"37.7531753","-122.4411223","0","0","0","0","0","0","0","0"
Pct 7829,Garage,4323 23rd St,Btw Hoffman & Douglass St,5.5% Slope,Yes,"94114",4323 23rd St 94114 ,"37.7524052","-122.4394782","0","0","0","0","0","0","0","0"
Pct 7831,Alvarado Elementary School - Motor Skills Rm,625 Douglass St,Enter On 22nd St Btw Douglass & Eureka,5.6% Slope - Ramped Access,Yes,"94114",625 Douglass St 94114 ,"37.7534167","-122.4379036","0","0","0","0","0","0","0","0"
Pct 7832,Noe Valley Branch Library - Program Room,451 Jersey St,Btw Diamond & Castro,4.0% Slope,Yes,"94114",451 Jersey St 94114 ,"37.7502378","-122.4350974","0","0","0","0","0","0","0","0"
Pct 7833,Garage,368 Jersey St,Btw Castro & Noe,1.9% Slope,Yes,"94114",368 Jersey St 94114 ,"37.7507143","-122.4333224","0","0","0","0","0","0","0","0"
Pct 7834,Edison Charter Academy - Auditorium,3531 22nd St,Btw Dolores & Chattanooga,0.9% Slope,Yes,"94114",3531 22nd St 94114 ,"37.7549088","-122.4260918","0","0","0","0","0","0","0","0"
Pct 7835,Firehouse #11 - Right Bay,3880 26th St,Btw Church & Dolores,5.0% Slope,Yes,"94131",3880 26th St 94131 ,"37.7488144","-122.4264882","0","0","0","0","0","0","0","0"
Pct 7836,Garage,286 Fair Oaks St,Btw 23rd & 24th Sts,5.9% Slope,Yes,"94110",286 Fair Oaks St 94110 ,"37.75213","-122.424263","0","0","0","0","0","0","0","0"
Pct 7837,Holy Innocents Episcopal Church - Sanctuary,455 Fair Oaks St,Btw 25th & 26th Sts,8.1% Slope - Ramped Access,Yes,"94110",455 Fair Oaks St 94110 ,"37.7494059","-122.4234663","0","0","0","0","0","0","0","0"
Pct 7838,Casa De Vida Apartments - Garage,5157 Diamond Heights Blvd,Btw Safira & Carnelian,7.4% Slope,Yes,"94131",5157 Diamond Heights Blvd 94131 ,"37.74693","-122.4402","0","0","0","0","0","0","0","0"
Pct 7839,Garage,829 Duncan St,Btw Diamond Heights & Douglass,6.6% Slope,Yes,"94131",829 Duncan St 94131 ,"37.7453045","-122.4386642","0","0","0","0","0","0","0","0"
Pct 7841,Garage,1421 Diamond St,Btw Duncan & 27th St,3.0% Slope,Yes,"94131",1421 Diamond St 94131 ,"37.7460519","-122.4355949","0","0","0","0","0","0","0","0"
Pct 7842,Garage,1576 Sanchez St,Btw 29th St & Valley,4.3% Slope,Yes,"94131",1576 Sanchez St 94131 ,"37.7438972","-122.4292281","0","0","0","0","0","0","0","0"
Pct 7843,Garage,1532 Church St,Btw 27th St & Duncan St,8.1% Slope,Yes,"94131",1532 Church St 94131 ,"37.7463586","-122.427172","0","0","0","0","0","0","0","0"
Pct 7844,Upper Noe Recreation Center - Lobby,295 Day St,Btw Sanchez & Church,8.3% Slope - Ramped Access,Yes,"94131",295 Day St 94131 ,"37.7425705","-122.4277903","0","0","0","0","0","0","0","0"
Pct 7845,Garage,181 27th St,Btw Dolores & Guerrero,5.5% Slope,Yes,"94110",181 27th St 94110 ,"37.7468651","-122.4240882","0","0","0","0","0","0","0","0"
Pct 7846,Goldmine Hill Homeowners Assoc - Rec Rm,43 Ora Way,Btw Goldmine & Topaz,5.3% Slope,Yes,94131-2531,43 Ora Way 94131-2531 ,"37.7414645","-122.4376499","0","0","0","0","0","0","0","0"
Pct 7847,Garage,287 Sussex St,Btw Swiss & Van Buren,1.4% Slope,Yes,"94131",287 Sussex St 94131 ,"37.7364526","-122.4378435","0","0","0","0","0","0","0","0"
Pct 7848,Garage,53 Digby St,Btw Everson North & Everson South,0.4% Slope,Yes,"94131",53 Digby St 94131 ,"37.7394725","-122.4325796","0","0","0","0","0","0","0","0"
Pct 7849,Garage,209 Randall St,Btw Whitney & Sanchez,5.0% Slope,Yes,"94131",209 Randall St 94131 ,"37.7396498","-122.4280845","0","0","0","0","0","0","0","0"
Pct 7851,Garage,126 Chenery St,Btw Randall & Fairmount,8.3% Slope,Yes,"94131",126 Chenery St 94131 ,"37.7394147","-122.4258409","0","0","0","0","0","0","0","0"
Pct 7852,Glen Park Library - Program Room,2825 Diamond St,Btw Bosworth & Wilder,1.3% Slope - Access Via Elevator,Yes,"94131",2825 Diamond St 94131 ,"37.7339608","-122.4336942","0","0","0","0","0","0","0","0"
Pct 7853,Garage,67 Richland Ave,Btw Mission & Arlington,3.8% Slope,Yes,94110-5830,67 Richland Ave 94110-5830 ,"37.736175","-122.4250869","0","1","0","0","0","0","0","0"
Pct 7854,Mission Y M C A - Conference Room,4080 Mission St,Btw Bosworth & Trumbull,1.8% Slope,Yes,"94112",4080 Mission St 94112 ,"37.73237","-122.42786","0","1","0","0","0","0","0","0"
Pct 7901,Valencia Gardens - Community Room,390 Valencia St,Enter Off Valencia At The Corner Of 15th St,1.6% Slope,Yes,"94103",390 Valencia St 94103 ,"37.7671244","-122.4230122","1","1","0","0","0","0","0","0"
Pct 7902,Arriba Juntos - Computer Lab,1850 Mission St,Btw 14th & 15th Sts,1.3% Slope,Yes,"94103",1850 Mission St 94103 ,"37.7674178","-122.4200709","0","1","0","0","0","0","0","0"
Pct 7903,La Raza Community Resource Center - Room 160,474 Valencia St,Btw 15th & 16th Sts,7.7% Slope,Yes,"94103",474 Valencia St 94103 ,"37.7653907","-122.4224409","0","1","0","0","0","0","0","0"
Pct 7904,Mission Hiring Hall,3080 16th St,Btw Valencia & Caledonia,0.6% Slope,Yes,94103-3417,3080 16th St 94103-3417 ,"37.7651333","-122.421543","1","1","0","0","0","0","0","0"
Pct 7905,U C S F Mission Center - Confer Rm #126,1855 Folsom St,Enter On 15th St Btw Folsom & Harrison,8.3% Slope - Ramped Access,Yes,"94103",1855 Folsom St 94103 ,"37.7673395","-122.4150481","1","1","0","0","0","0","0","0"
Pct 7906,Heath Ceramics,2900 18th St,Btw Florida & Alabama,8.1% Slope - Ramped Access,Yes,"94110",2900 18th St 94110 ,"37.7620565","-122.4116251","0","1","0","0","0","0","0","0"
Pct 7907,Apartamentos De La Esperanza - Garage,3590 19th St,Enter Off Guerrero Btw 18th & 19th Sts,4.4% Slope,Yes,"94110",3590 19th St 94110 ,"37.7602118","-122.4234549","0","1","0","0","0","0","0","0"
Pct 7908,Ana's Salon,2248 Mission St,Btw 18th & 19th Sts,5.8% Slope,Yes,94110-1812,2248 Mission St 94110-1812 ,"37.7610594","-122.4196717","1","1","0","0","0","0","0","0"
Pct 7909,Bethany Center - Multi Purpose Room,580 Capp St,Btw 20th & 21st St,8.3% Slope - Ramped Access,Yes,"94110",580 Capp St 94110 ,"37.75746","-122.4181638","1","1","0","0","0","0","0","0"
Pct 7911,Firehouse #7 - Right Bay,2300 Folsom St,Enter On 19th St Btw Folsom & Shotwell,4.1% Slope,Yes,"94110",2300 Folsom St 94110 ,"37.7600155","-122.4153568","0","1","0","0","0","0","0","0"
Pct 7912,Mission Language And Vocational School,701 Alabama St,Btw 19th & 20th Sts,0.4% Slope,Yes,"94110",701 Alabama St 94110 ,"37.7599503","-122.4114925","0","1","0","0","0","0","0","0"
Pct 7913,C C S F - Mission Center - Main Lobby,1125 Valencia St,Btw 22nd & 23rd Sts,5% Slope,Yes,"94110",1125 Valencia St 94110 ,"37.7548283","-122.420623","0","1","0","0","0","0","0","0"
Pct 7914,Mission United Presbyterian Church - Social Hall,3261 23rd St,Between Capp & Mission Sts,8.0% Slope,Yes,"94110",3261 23rd St 94110 ,"37.7536645","-122.4177471","0","1","0","0","0","0","0","0"
Pct 7915,Mission Arts Center - 2nd Floor Auditorium,745 Treat Ave,Btw 20th & 21st Sts,6.0% Slope - Access Via Elevator,Yes,"94110",745 Treat Ave 94110 ,"37.7582","-122.4133892","0","1","0","0","0","0","0","0"
Pct 7916,Accion Latina - Lobby,2958 24th St,Btw Harrison & Alabama,2.5% Slope,Yes,"94110",2958 24th St 94110 ,"37.7528519","-122.4113258","0","1","0","0","0","0","0","0"
Pct 7917,Garage,2700 22nd St,Corner Of York & 22nd Sts,8.1% Slope,Yes,"94110",2700 22nd St 94110 ,"37.7562599","-122.408681","0","1","0","0","0","0","0","0"
Pct 7918,Templo De La Fe - Church Lobby,1220 Valencia St,Btw 23rd & 24th Sts,1.0% Slope,Yes,94110-3029,1220 Valencia St 94110-3029 ,"37.7532371","-122.4211811","0","1","0","0","0","0","0","0"
Pct 7919,Endgames Improv - Storefront,2989 Mission St,Btw 25th & 26th Sts,8.3% Slope,Yes,"94110",2989 Mission St 94110 ,"37.7493979","-122.4179083","0","1","0","0","0","0","0","0"
Pct 7921,Garage,2774 Folsom St,Btw 23rd & 24th Sts,1.2% Slope,Yes,"94110",2774 Folsom St 94110 ,"37.7528821","-122.4144616","1","1","0","0","0","0","0","0"
Pct 7922,Garfield Square Rec Center - Multi Purpose Rm,1271 Treat Ave,Btw 25th & 26th Sts,1.7% Slope,Yes,"94110",1271 Treat Ave 94110 ,"37.7501469","-122.4120428","0","1","0","0","0","0","0","0"
Pct 7923,Brava Theater - Cabaret Room,2773 24th St,Btw York & Hampshire,6.9% Slope,Yes,"94110",2773 24th St 94110 ,"37.7527978","-122.4077477","0","1","0","0","0","0","0","0"
Pct 7924,Garage,2859 25th St,Btw Hampshire & York,7.2% Slope,Yes,"94110",2859 25th St 94110 ,"37.751185","-122.4074595","0","1","0","0","0","0","0","0"
Pct 7925,Garage,45 29th St,Btw Mission & Tiffany,3.4% Slope,Yes,"94110",45 29th St 94110 ,"37.7437623","-122.4217959","0","1","0","0","0","0","0","0"
Pct 7926,Mission Workforce Development - Mission Annex,3125 Mission St,Btw Cesar Chavez & Precita,2.2% Slope,Yes,"94110",3125 Mission St 94110 ,"37.7474182","-122.4183602","0","1","0","0","0","0","0","0"
Pct 7927,Garage,151 Peralta Ave,Btw York & Franconia,2.3% Slope,Yes,"94110",151 Peralta Ave 94110 ,"37.7469839","-122.407891","0","0","0","0","0","0","0","0"
Pct 7928,Garage,28 Mirabel Ave,Btw Coso Ave & Shotwell St,7.5% Slope,Yes,94110-4615,28 Mirabel Ave 94110-4615 ,"37.746141","-122.4169312","0","0","0","0","0","0","0","0"
Pct 7929,Precita Eyes Studio,348 Precita Ave,Btw Treat & Folsom,7.9% Slope,Yes,"94110",348 Precita Ave 94110 ,"37.7466813","-122.4127472","0","0","0","0","0","0","0","0"
Pct 7931,Garage,514 Peralta Ave,Btw Ripley & Esmeralda,6.6% Slope,Yes,"94110",514 Peralta Ave 94110 ,"37.7441725","-122.4088323","0","0","0","0","0","0","0","0"
Pct 7932,Garage,246 Bocana St,Btw Cortland & Eugenia,0.3% Slope,Yes,"94110",246 Bocana St 94110 ,"37.7398578","-122.4184717","0","1","0","0","0","0","0","0"
Pct 7933,Garage,267 Anderson St,Btw Cortland & Eugenia,0.6% Slope,Yes,"94110",267 Anderson St 94110 ,"37.7394587","-122.415036","0","0","0","0","0","0","0","0"
Pct 7934,Garage,1419 Cortland Ave,Btw Bradford & Nebraska,3.3% Slope,Yes,"94110",1419 Cortland Ave 94110 ,"37.7399285","-122.4101267","0","0","0","0","0","0","0","0"
Pct 7935,Garage,176 Highland Ave,Btw Holly Park Cir & Patton,6.6% Slope,Yes,"94110",176 Highland Ave 94110 ,"37.7371375","-122.4218579","0","1","0","0","0","0","0","0"
Pct 7936,Bernal Heights Library - Community Room,500 Cortland Ave,Enter On Andover Btw Cortland & Moultrie,1.8% Slope,Yes,"94110",500 Cortland Ave 94110 ,"37.7388562","-122.4161326","0","0","0","0","0","0","0","0"
Pct 7937,Paul Revere Elementary School - Room 121,555 Tompkins Ave,Enter On Banks Near Corner Of Tompkins,5.5% Slope - Ramped Access,Yes,"94110",555 Tompkins Ave 94110 ,"37.7373016","-122.4131897","0","1","0","0","0","0","0","0"
Pct 7938,Market Heights Apts - Garage,1000 Tompkins Ave,Btw Putnam & Bradford,8.3% Slope - Ramped Access,Yes,"94110",1000 Tompkins Ave 94110 ,"37.7368013","-122.410222","1","1","0","0","0","0","0","0"
Pct 7939,St Mary's Rec Center - Auditorium,95 Justin Dr,Enter On Murray Past Justin,5.0% Slope,Yes,"94112",95 Justin Dr 94112 ,"37.7341318","-122.4216642","0","1","0","0","0","0","0","0"
Pct 7941,Alemany Apartments - Community Room,560 Alemany Blvd,Enter On Ellsworth Btw Alemany & Crescent,5.0% Slope,Yes,"94110",560 Alemany Blvd 94110 ,"37.7323857","-122.4180418","1","1","0","0","0","0","0","0"
Pct 7942,Hillcrest School - Auditorium,810 Silver Ave,Btw Cambridge & Yale,8.3% Slope - Ramped Access,Yes,"94134",810 Silver Ave 94134 ,"37.728555","-122.4189859","1","1","0","0","0","0","1","0"
Pct 7943,Garage,224 Hale St,Btw Merrill & Boylston,1.8% Slope,Yes,"94134",224 Hale St 94134 ,"37.731994","-122.4097188","1","1","0","0","0","0","0","0"
Pct 7944,Palega Rec Center - Lobby,500 Felton St,Btw Hamilton & Somerset,5.0% Slope,Yes,"94134",500 Felton St 94134 ,"37.7291258","-122.409703","1","1","0","0","0","0","1","0"
Pct 7945,Firehouse #42 - Left Bay,2430 San Bruno Ave,Btw Silliman & Silver,4.2% Slope,Yes,"94134",2430 San Bruno Ave 94134 ,"37.7315881","-122.4055756","1","1","0","0","0","0","1","0"
Pct 7946,Garage,506 Yale St,Near Corner Of Yale & Wayland,2.1% Slope,Yes,"94134",506 Yale St 94134 ,"37.7228797","-122.4160576","1","0","0","0","0","0","1","0"
Pct 7947,Garage,430 Somerset St,Btw Bacon & Wayland,3.1% Slope,Yes,"94134",430 Somerset St 94134 ,"37.7260598","-122.4075591","1","1","0","0","0","0","1","0"
Pct 7948,Garage,801 University St,Corner Of University & Olmstead,3.9% Slope,Yes,"94134",801 University St 94134 ,"37.7202043","-122.4112995","1","0","0","0","0","0","1","0"
Pct 7949,Garage,809 Goettingen St,Btw Olmstead & Mansell,3.9% Slope,Yes,"94134",809 Goettingen St 94134 ,"37.7219289","-122.404362","1","1","0","0","0","0","1","0"
Pct 9101,Firehouse #34 - Left Bay,499 41st Ave,Btw Geary & Point Lobos,2.0% Slope,Yes,"94121",499 41st Ave 94121 ,"37.7794673","-122.5026784","1","0","0","0","0","0","0","0"
Pct 9102,El Mansour Restaurant,3119 Clement St,Btw 32nd & 33rd Ave,1.5% Slope,Yes,"94121",3119 Clement St 94121 ,"37.7814572","-122.4927825","1","0","0","0","0","0","0","0"
Pct 9103,Garage,90 25th Ave,Btw El Camino Del Mar & Scenic,5.1% Slope,Yes,"94121",90 25th Ave 94121 ,"37.7880547","-122.4851175","0","0","0","0","0","0","0","0"
Pct 9104,Presidio Middle School - Auditorium Lobby,450 30th Ave,Btw Clement & Geary,5.2% Slope,Yes,"94121",450 30th Ave 94121 ,"37.7812551","-122.4898217","1","0","0","0","0","0","0","0"
Pct 9105,Rochambeau Playground - Clubhouse,250 25th Ave,Btw California & Lake,4.6% Slope,Yes,"94121",250 25th Ave 94121 ,"37.784839","-122.484544","1","0","0","0","0","0","1","0"
Pct 9106,Garage,463 28th Ave,Btw Geary & Clement,0.4% Slope,Yes,"94121",463 28th Ave 94121 ,"37.7806978","-122.4882174","1","0","0","0","0","0","0","0"
Pct 9107,Garage,142 20th Ave,Btw Lake & California,5.3% Slope,Yes,"94121",142 20th Ave 94121 ,"37.7851868","-122.4795577","0","0","0","0","0","0","1","0"
Pct 9108,Alamo Elementary School - Lobby,250 23rd Ave,Btw Clement & California,7.1% Slope - Ramped Access,Yes,"94121",250 23rd Ave 94121 ,"37.7827982","-122.482038","1","0","0","0","0","0","1","0"
Pct 9109,Richmond Rec Center - Multi Purpose Room,251 18th Ave,Btw California & Clement,2.5% Slope,Yes,"94121",251 18th Ave 94121 ,"37.7833116","-122.4781315","1","0","0","0","0","0","0","0"
Pct 9111,Garage,249 17th Ave,Btw California & Clement,1.0% Slope,Yes,94121-2310,249 17th Ave 94121-2310 ,"37.7833214","-122.4765991","0","0","0","0","0","0","1","0"
Pct 9112,Y M C A Richmond District,360 18th Ave,Btw Geary & Clement,6.7% Slope,Yes,"94121",360 18th Ave 94121 ,"37.781225","-122.4770634","1","0","0","0","0","0","1","0"
Pct 9113,Sutro Elementary School - Cafeteria,235 12th Ave,Btw Clement & California,1.0% Slope,Yes,94118-2103,235 12th Ave 94118-2103 ,"37.7834162","-122.4716131","1","0","0","0","0","0","0","0"
Pct 9114,Richmond Branch Library - Program Room,350 10th Ave,Btw Geary & Clement,3.5% Slope,Yes,"94118",350 10th Ave 94118 ,"37.7818439","-122.468099","1","0","0","0","0","0","0","0"
Pct 9115,Garage,55 6th Ave,Btw Lake St & Mountain Lake Trail,8.3% Slope,Yes,94118-1205,55 6th Ave 94118-1205 ,"37.7875716","-122.4650212","0","0","0","0","0","0","0","0"
Pct 9116,George Peabody School - Library Media Center,251 6th Ave,Enter On 7th Ave Btw Clement & California,4.5% Slope,Yes,"94118",251 6th Ave 94118 ,"37.783858","-122.4649948","1","0","0","0","0","0","0","0"
Pct 9117,St John's Presbyterian Church - Lobby,25 Lake St,Enter At Corner Of Lake & Arguello,8.3% Slope - Ramped Access,Yes,"94118",25 Lake St 94118 ,"37.786767","-122.4599177","0","0","0","0","0","0","0","0"
Pct 9118,Senior Housing - Community Room,345 Arguello Blvd,Btw Cornwall & Clement,1.2% Slope,Yes,"94118",345 Arguello Blvd 94118 ,"37.7842218","-122.4594839","1","0","0","0","0","0","0","0"
Pct 9119,Garage,527 47th Ave,Btw Geary & Anza,1.0% Slope,Yes,"94121",527 47th Ave 94121 ,"37.7783873","-122.5085214","1","0","0","0","0","0","0","0"
Pct 9121,Garage,687 40th Ave,Btw Balboa & Anza Sts,5.5% Slope,Yes,94121-2524,687 40th Ave 94121-2524 ,"37.7759012","-122.5007849","1","0","0","0","0","0","0","0"
Pct 9122,Anza Branch Library - Program Room,550 37th Ave,Btw Geary & Anza,5.6% Slope,Yes,94121-2612,550 37th Ave 94121-2612 ,"37.778557","-122.4972244","1","0","0","0","0","0","0","0"
Pct 9123,Washington High School - Beacon Teen Center,600 32nd Ave,Enter On 30th Ave Btw Anza & Balboa,4.3% Slope,Yes,"94121",600 32nd Ave 94121 ,"37.7778056","-122.4913902","1","0","0","0","0","0","0","0"
Pct 9124,Firehouse #14 - Right Bay,551 26th Ave,Btw Anza & Geary,3.0% Slope,Yes,"94121",551 26th Ave 94121 ,"37.7790053","-122.4859487","1","0","0","0","0","0","0","0"
Pct 9125,Garage,469 23rd Ave,Btw Anza & Geary,6.9% Slope,Yes,"94121",469 23rd Ave 94121 ,"37.7788733","-122.4827013","1","0","0","0","0","0","0","0"
Pct 9126,Self Help For The Elderly - Lobby,5757 Geary Blvd,Btw 21st & 22nd St,3.6% Slope,Yes,"94121",5757 Geary Blvd 94121 ,"37.7800217","-122.4813212","1","0","0","0","0","0","0","0"
Pct 9127,Garage,482 16th Ave,Btw Anza & Geary,8.3% Slope,Yes,"94118",482 16th Ave 94118 ,"37.7789715","-122.4747748","1","0","0","0","0","0","0","0"
Pct 9128,Firehouse #31 - Left Bay,441 12th Ave,Btw Geary & Anza,2.6% Slope,Yes,"94118",441 12th Ave 94118 ,"37.7798712","-122.4710015","1","0","0","0","0","0","0","0"
Pct 9129,Garage,632 11th Ave,Btw Cabrillo & Balboa,2.8% Slope,Yes,"94118",632 11th Ave 94118 ,"37.7763155","-122.469119","1","0","0","0","0","0","0","0"
Pct 9131,Richmond Police Station - Community Room,420 7th Ave,Enter via Muriel Leff Park on 7th Ave btw Geary & Anza,7.1% Slope,Yes,"94118",420 7th Ave 94118 ,"37.7804809","-122.4650598","1","0","0","0","0","0","0","0"
Pct 9132,Garage,590 5th Ave,Btw Balboa & Anza,1.5% Slope,Yes,"94118",590 5th Ave 94118 ,"37.7775049","-122.4627634","1","0","0","0","0","0","0","0"
Pct 9133,Ocean Plants,800 Great Hwy,Enter Via Plaza At La Playa & Cabrillo,6.8% Slope - Ramped Access,Yes,"94121",800 Great Hwy 94121 ,"37.772769","-122.5106982","1","0","0","0","0","0","0","0"
Pct 9134,Garage,734 46th Ave,Btw Balboa & Cabrillo,1.5% Slope,Yes,"94121",734 46th Ave 94121 ,"37.7745996","-122.5066893","1","0","0","0","0","0","0","0"
Pct 9135,Cabrillo Playground - Clubhouse,853 38th Ave,Btw Cabrillo & Fulton,6.8% Slope,Yes,"94121",853 38th Ave 94121 ,"37.7728711","-122.4986803","1","0","0","0","0","0","0","0"
Pct 9136,Garage,3245 Cabrillo St,Btw 33rd & 34th Aves,3.5% Slope,Yes,"94121",3245 Cabrillo St 94121 ,"37.7739044","-122.4936681","1","0","0","0","0","0","0","0"
Pct 9137,Fulton Playground - Fieldhouse,855 27th Ave,Btw Fulton & Cabrillo,4.8% Slope,Yes,94121-3619,855 27th Ave 94121-3619 ,"37.7735596","-122.4869198","1","0","0","0","0","0","0","0"
Pct 9138,Academic & Professional Dev - Room 118,735 24th Ave,Btw Balboa & Cabrillo,6.4% Slope,Yes,"94121",735 24th Ave 94121 ,"37.7756825","-122.483783","1","0","0","0","0","0","0","0"
Pct 9139,Garage,626 20th Ave,Btw Balboa & Cabrillo,0.5% Slope,Yes,"94121",626 20th Ave 94121 ,"37.7760009","-122.478903","1","0","0","0","0","0","0","0"
Pct 9141,Argonne School - Multi Purpose Rm,680 18th Ave,Enter On 17th Ave Btw Balboa & Cabrillo,2.0% Slope,Yes,"94121",680 18th Ave 94121 ,"37.7752506","-122.476521","1","0","0","0","0","0","0","0"
Pct 9142,Golden Gate Church Of Christ - Community Rm,701 8th Ave,Btw Cabrillo & Fulton,2.8% Slope,Yes,"94118",701 8th Ave 94118 ,"37.7750007","-122.4662398","1","0","0","0","0","0","0","0"
Pct 9143,Mccoppin School - Cafeteria,651 6th Ave,Btw Cabrillo & Balboa,5.5% Slope - Ramped Access,Yes,"94118",651 6th Ave 94118 ,"37.7761893","-122.4642902","1","0","0","0","0","0","0","0"
Pct 9144,Garage,738 Arguello Blvd,Btw Golden Gate & Turk,1.1% Slope,Yes,"94118",738 Arguello Blvd 94118 ,"37.7764235","-122.458257","0","0","0","0","0","0","0","0"
Pct 9145,Koret Center - Gymnasium,2975 Turk Blvd,Enter At Turk & Stanyan,13.9% Slope For 1 Foot - Curbside Voting Avail,No,"94118",2975 Turk Blvd 94118 ,"37.7766854","-122.454597","0","0","0","0","0","0","0","0"
