item,total_cost
propAyes,926350.0
propAno,0.0
propByes,617500.0
propBno,1375760.0
propCyes,379348.0
propCno,74640.0
propDyes,0.0
propDno,0.0
propEyes,2255905.0
propEno,212166.0
propFyes,1076000.0
propFno,38531.0
propGyes,174221.0
propGno,0.0
